,ID,cluster.mSP,H_vulgaris105,Gene_name,H_sapiens,P_Name,G_Name,GO_BP,Description
543,R030607c0g1_i01,3,g1834,NAN,DNAJA2,DnaJ homolog subfamily A member 1,DNAJA1,negative regulation of JUN kinase activity [GO:0043508]; negative regulation of apoptotic process [GO:0043066]; positive regulation of apoptotic process [GO:0043065]; protein folding [GO:0006457]; protein localization to mitochondrion [GO:0070585]; regulation of protein transport [GO:0051223]; response to heat [GO:0009408],"Co-chaperone for HSPA8/Hsc70. Plays a role in protein transport into mitochondria via its role as co-chaperone. Functions as co-chaperone for HSPA1B and negatively regulates the translocation of BAX from the cytosol to mitochondria in response to cellular stress, thereby protecting cells against apoptosis. Stimulates ATP hydrolysis, but not the folding of unfolded proteins mediated by HSPA1A (in vitro). Promotes apoptosis in response to cellular stress mediated by exposure to anisomycin or UV (By similarity). "
544,R030611c0g1_i01,6,g15881,COUP-TF2,NR2F6,Nuclear receptor subfamily 2 group F member 1-A (COUP transcription factor 1-A) (COUP-TFalpha-A) (zCOUP-TFI) (Seven-up related 44) (Svp[44]) (zSvp[44]) (Steroid receptor homolog SVP 44),nr2f1a nr2f1 svp44 si:dkeyp-10a3.1,anatomical structure development [GO:0048856]; atrial cardiac muscle cell differentiation [GO:0055011]; cardiac atrium morphogenesis [GO:0003209]; cell differentiation [GO:0030154]; endothelial cell proliferation [GO:0001935]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; vasculature development [GO:0001944],Putative transcription factor that is required in photoreceptor cells precursors during eye development. 
545,R030617c0g1_i01,9,NA,NAN,NA,NA,NA,NA,NA
546,R030659c0g1_i01,5,g29691,NAN,ILKAP,Integrin-linked kinase-associated serine/threonine phosphatase 2C (ILKAP) (EC 3.1.3.16),ILKAP,NA,"Protein phosphatase that may play a role in regulation of cell cycle progression via dephosphorylation of its substrates whose appropriate phosphorylation states might be crucial for cell proliferation. Selectively associates with integrin linked kinase (ILK), to modulate cell adhesion and growth factor signaling. Inhibits the ILK-GSK3B signaling axis and may play an important role in inhibiting oncogenic transformation (By similarity). "
547,R030669c0g1_i01,4,g27341,NAN,STK25,Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1),Stk25 Sok1,Golgi localization [GO:0051645]; Golgi reassembly [GO:0090168]; activation of protein kinase activity [GO:0032147]; establishment of Golgi localization [GO:0051683]; establishment or maintenance of cell polarity [GO:0007163]; intrinsic apoptotic signaling pathway in response to hydrogen peroxide [GO:0036481]; positive regulation of axonogenesis [GO:0050772]; positive regulation of stress-activated MAPK cascade [GO:0032874]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; response to hydrogen peroxide [GO:0042542]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098],"Oxidant stress-activated serine/threonine kinase that may play a role in the response to environmental stress. Targets to the Golgi apparatus where it appears to regulate protein transport events, cell adhesion, and polarity complexes important for cell migration (By similarity). "
548,R030700c0g3_i03,8,g27085,NAN,NA,NA,NA,NA,NA
549,R030710c0g1_i01,5,g31064,NAN,NA,KRAB-A domain-containing protein 2,KRBA2,"DNA integration [GO:0015074]; regulation of transcription, DNA-templated [GO:0006355]",NA
550,R030754c0g2_i03,8,g18952,NAN,ADAMTS14,A disintegrin and metalloproteinase with thrombospondin motifs 3 (ADAM-TS 3) (ADAM-TS3) (ADAMTS-3) (EC 3.4.24.-) (Procollagen II N-proteinase) (PC II-NP) (Procollagen II amino propeptide-processing enzyme),ADAMTS3 KIAA0366,collagen biosynthetic process [GO:0032964]; collagen catabolic process [GO:0030574]; collagen fibril organization [GO:0030199]; in utero embryonic development [GO:0001701]; positive regulation of vascular endothelial growth factor signaling pathway [GO:1900748]; protein processing [GO:0016485]; supramolecular fiber organization [GO:0097435]; vascular endothelial growth factor production [GO:0010573],Cleaves the propeptides of type II collagen prior to fibril assembly. Does not act on types I and III collagens.
551,R030757c0g1_i04,9,g3434,NAN,PLEKHH1,Pleckstrin homology domain-containing family H member 1 (PH domain-containing family H member 1),Plekhh1 Kiaa1200,NA,NA
552,R030760c0g1_i01,4,g29709,NAN,PARVG,Alpha-parvin (Actopaxin),Parva Actp,actin cytoskeleton organization [GO:0030036]; actin cytoskeleton reorganization [GO:0031532]; actin-mediated cell contraction [GO:0070252]; cell projection assembly [GO:0030031]; cilium assembly [GO:0060271]; establishment or maintenance of cell polarity [GO:0007163]; heterotypic cell-cell adhesion [GO:0034113]; outflow tract septum morphogenesis [GO:0003148]; protein heterooligomerization [GO:0051291]; regulation of cell shape [GO:0008360]; smooth muscle cell chemotaxis [GO:0071670]; sprouting angiogenesis [GO:0002040]; substrate adhesion-dependent cell spreading [GO:0034446],"Plays a role in sarcomere organization and in smooth muscle cell contraction. Required for normal development of the embryonic cardiovascular system, and for normal septation of the heart outflow tract. Plays a role in sprouting angiogenesis and is required for normal adhesion of vascular smooth muscle cells to endothelial cells during blood vessel development (By similarity). Plays a role in the reorganization of the actin cytoskeleton, formation of lamellipodia and ciliogenesis. Plays a role in the establishement of cell polarity, cell adhesion, cell spreading, and directed cell migration. "
553,R030799c1g3_i01,2,g11603,CDH,NA,"Choline dehydrogenase, mitochondrial (CDH) (CHD) (EC 1.1.99.1)",Chdh,glycine betaine biosynthetic process from choline [GO:0019285],NA
554,R030805c0g1_i01,5,g3924,NAN,NA,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 (Atrophin-1-interacting protein 1) (AIP-1) (Membrane-associated guanylate kinase inverted 2) (MAGI-2) (Synaptic-scaffolding molecule) (S-SCAM)",Magi2 Acvrinp1 Aip1 Sscam,SMAD protein signal transduction [GO:0060395]; cellular response to nerve growth factor stimulus [GO:1990090]; glomerular filtration [GO:0003094]; glomerular visceral epithelial cell development [GO:0072015]; mitotic cell cycle arrest [GO:0071850]; negative regulation of activin receptor signaling pathway [GO:0032926]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of protein kinase B signaling [GO:0051898]; nerve growth factor signaling pathway [GO:0038180]; positive regulation of neuron projection development [GO:0010976]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; positive regulation of receptor internalization [GO:0002092]; protein heterooligomerization [GO:0051291]; receptor clustering [GO:0043113]; regulation of neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0098696]; regulation of synaptic membrane adhesion [GO:0099179]; signal transduction [GO:0007165],Seems to act as scaffold molecule at synaptic junctions by assembling neurotransmitter receptors and cell adhesion proteins. May play a role in regulating activin-mediated signaling in neuronal cells. Enhances the ability of PTEN to suppress AKT1 activation (By similarity). Plays a role in nerve growth factor (NGF)-induced recruitment of RAPGEF2 to late endosomes and neurite outgrowth. 
555,R030807c0g3_i01,8,g6064,NAN,FUCA2,Plasma alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucoside fucohydrolase 2) (Alpha-L-fucosidase 2),Fuca2,carbohydrate metabolic process [GO:0005975]; fucose metabolic process [GO:0006004]; glycoside catabolic process [GO:0016139]; regulation of entry of bacterium into host cell [GO:2000535]; response to bacterium [GO:0009617],"Alpha-L-fucosidase is responsible for hydrolyzing the alpha-1,6-linked fucose joined to the reducing-end N-acetylglucosamine of the carbohydrate moieties of glycoproteins."
556,R030818c2g1_i02,2,g30308,NAN,NPC2,NPC intracellular cholesterol transporter 2 homolog a (Niemann Pick type C2 protein homolog),Npc2a NPC2 CG7291,ecdysteroid biosynthetic process [GO:0045456]; intracellular cholesterol transport [GO:0032367]; peptidoglycan recognition protein signaling pathway [GO:0061057]; sterol homeostasis [GO:0055092]; sterol transport [GO:0015918]; synaptic target recognition [GO:0008039],"Functions redundantly with Npc2b in regulating sterol homeostasis and ecdysteroid biosynthesis, probably by controlling the availability of sterol substrate. "
557,R030824c1g1_i06,1,g20045,NAN,NA,NA,NA,NA,NA
558,R030831c0g1_i01,7,NA,NAN,NA,NA,NA,NA,NA
559,R030836c0g1_i01,1,g25564,NAN,NA,NA,NA,NA,NA
560,R030837c0g2_i01,9,g11780,Sp4,NA,Transcription factor Sp4,Sp4,regulation of heart contraction [GO:0008016]; regulation of transcription by RNA polymerase II [GO:0006357],Binds to GT and GC boxes promoters elements. Probable transcriptional activator. Required for normal male reproductive behavior.
561,R030876c0g1_i02,4,g32540,SRP68,SRP68,Signal recognition particle subunit SRP68 (SRP68) (Signal recognition particle 68 kDa protein),Srp68,SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; response to drug [GO:0042493],"Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane. SRP68 binds the 7S RNA, SRP72 binds to this complex subsequently. This ribonucleoprotein complex might interact directly with the docking protein in the ER membrane and possibly participate in the elongation arrest function (By similarity). "
562,R030878c1g1_i01,5,NA,NAN,NA,NA,NA,NA,NA
563,R030907c0g1_i01,7,g6003,NAN,NA,NA,NA,NA,NA
564,R030915c0g1_i02,5,NA,NAN,GAB1,NA,GAB1,NA,NA
565,R030917c0g1_i01,7,g24566,NAN,NA,NA,NA,NA,NA
566,R030918c0g1_i03,5,g13596,NAN,SUGP1,NA,SUGP1,NA,NA
567,R030920c0g1_i05,5,g18812,NAN,MKNK2,MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 1) (MAPK signal-integrating kinase 1) (Mnk1),mknk1,intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]; regulation of translation [GO:0006417],"May play a role in the response to environmental stress and cytokines. Appears to regulate translation by phosphorylating EIF4E, thus increasing the affinity of this protein for the 7-methylguanosine-containing mRNA cap (By similarity). "
568,R030934c0g1_i01,5,NA,NAN,NA,NA,NA,NA,NA
569,R030938c0g2_i01,4,g14067,NAN,TBC1D8B,TBC1 domain family member 9,Tbc1d9 Kiaa0882,activation of GTPase activity [GO:0090630]; intracellular protein transport [GO:0006886],May act as a GTPase-activating protein for Rab family protein(s).
570,R030954c0g1_i01,3,g30288,NAN,NA,Demethylmenaquinone methyltransferase (EC 2.1.1.163),menG SSP1275,menaquinone biosynthetic process [GO:0009234],Methyltransferase required for the conversion of demethylmenaquinol (DMKH2) to menaquinol (MKH2). 
571,R030958c0g1_i01,7,g7374,NAN,NA,Kelch-like protein 3,KLHL3,distal tubule morphogenesis [GO:0072156]; ion homeostasis [GO:0050801]; protein K48-linked ubiquitination [GO:0070936]; protein ubiquitination [GO:0016567]; renal sodium ion absorption [GO:0070294]; ubiquitin-dependent protein catabolic process [GO:0006511],"Substrate-specific adapter of a BCR (BTB-CUL3-RBX1) E3 ubiquitin ligase complex that acts as a regulator of ion transport in the distal nephron. The BCR(KLHL3) complex acts by mediating ubiquitination of WNK4, an inhibitor of potassium channel KCNJ1, leading to WNK4 degradation (By similarity). The BCR(KLHL3) complex also mediates ubiquitination and degradation of CLDN8, a tight-junction protein required for paracellular chloride transport in the kidney (By similarity). "
572,R030965c0g1_i01,2,g16633,NAN,CNOT11,CCR4-NOT transcription complex subunit 11,Cnot11,gene silencing by RNA [GO:0031047]; regulation of translation [GO:0006417],"Component of the CCR4-NOT complex which is one of the major cellular mRNA deadenylases and is linked to various cellular processes including bulk mRNA degradation, miRNA-mediated repression, translational repression during translational initiation and general transcription regulation. Additional complex functions may be a consequence of its influence on mRNA expression. Is required for the association of CNOT10 with the CCR4-NOT complex. Seems not to be required for complex deadenylase function (By similarity). "
573,R030966c0g1_i04,4,g24293,PPIase,FKBP11,Peptidyl-prolyl cis-trans isomerase FKBP9 (PPIase FKBP9) (EC 5.2.1.8) (FK506-binding protein 9) (FKBP-9) (Rotamase),Fkbp9,protein folding [GO:0006457],PPIases accelerate the folding of proteins during protein synthesis.
574,R030970c0g1_i01,6,g21327,NAN,FRMD8,NA,FRMD8,NA,NA
575,R030973c0g1_i01,8,g26572,NAN,NA,Laccase-24 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 24) (Diphenol oxidase 24) (Urishiol oxidase 24),LAC24 Os12g0258700 LOC_Os12g15680 OsJ_016843 OsJ_17624,lignin catabolic process [GO:0046274],Lignin degradation and detoxification of lignin-derived products. 
576,R030977c0g1_i02,3,g28284,NAN,TMEM214,Transmembrane protein 214-B,tmem214-b,apoptotic process [GO:0006915],"Critical mediator, in cooperation with CASP4, of endoplasmic reticulum-stress induced apoptosis. Required or the activation of CASP4 following endoplasmic reticulum stress (By similarity). "
577,R030990c0g1_i01,2,g1880,NAN,NUDCD1,NudC domain-containing protein 1,nudcd1 zgc:110705,NA,NA
578,R031009c0g1_i01,2,g28397,NAN,CDV3,Protein CDV3 homolog,cdv3 TGas130k19.1,NA,NA
579,R031031c0g1_i03,4,g26127,NAN,CNPY1,Protein canopy homolog 2 (MIR-interacting saposin-like protein) (Putative secreted protein ZSIG9) (Transmembrane protein 4),Cnpy2 Msap Tmem4 Zsig9,negative regulation of gene expression [GO:0010629]; positive regulation of low-density lipoprotein particle receptor biosynthetic process [GO:0045716]; regulation of low-density lipoprotein particle clearance [GO:0010988],Positive regulator of neurite outgrowth by stabilizing myosin regulatory light chain (MRLC). It prevents MIR-mediated MRLC ubiquitination and its subsequent proteasomal degradation (By similarity). 
